user_id,age_group,populational_aff,gender,education,location_city,country,interest_tags
159,41 - 50,White/Caucasian,F,High School,Setúbal,Portugal,
160,25 - 30,Asian,F,Bachelor’s Degree,London Borough of Lambeth,United Kingdom,
161,31 - 40,White/Caucasian,M,Bachelor’s Degree,Wyoming,United States,Boxing
162,25 - 30,Asian,F,Master’s Degree,Overijssel,Netherlands,
163,18 - 24,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
164,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
165,18 - 24,Prefer not to disclose,M,Bachelor’s Degree,Lisboa,Portugal,
166,25 - 30,Latino,M,Master’s Degree,Lisboa,Portugal,Basebol
167,31 - 40,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
168,18 - 24,White/Caucasian,F,Bachelor’s Degree,Vila Real,Portugal,
169,18 - 24,White/Caucasian,M,Bachelor’s Degree,South Holland,Netherlands,
170,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
171,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,
172,18 - 24,White/Caucasian,M,Master’s Degree,Setúbal,Portugal,Ginásio
173,31 - 40,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,
174,51 - 60,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,
175,51 - 60,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,
176,51 - 60,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
177,41 - 50,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,
178,31 - 40,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
179,41 - 50,White/Caucasian,F,Doctorate Degree,Lisboa,Portugal,
180,41 - 50,Latino,F,Master’s Degree,Lisboa,Portugal,
181,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
182,41 - 50,Latino,F,High School,Leiria,Portugal,
183,41 - 50,White/Caucasian,M,Bachelor’s Degree,Santarém,Portugal,
184,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
185,41 - 50,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
186,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
187,41 - 50,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
188,51 - 60,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
189,18 - 24,White/Caucasian,M,Middle School,Santarém,Portugal,
190,25 - 30,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,
191,18 - 24,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,
192,51 - 60,White/Caucasian,F,Doctorate Degree,Setúbal,Portugal,Fotografia
193,51 - 60,Latino,M,High School,Setúbal,Portugal,
194,18 - 24,White/Caucasian,F,Master’s Degree,Santarém,Portugal,
195,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
196,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
197,18 - 24,Black,F,Master’s Degree,Lisboa,Portugal,
198,25 - 30,Hispanic,M,Bachelor’s Degree,Lisboa,Portugal,
199,18 - 24,White/Caucasian,M,Bachelor’s Degree,Santarém,Portugal,
200,41 - 50,White/Caucasian,F,High School,Santarém,Portugal,
201,18 - 24,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
202,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
203,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
204,18 - 24,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,Skate
205,18 - 24,Hispanic,F,Master’s Degree,Lisboa,Portugal,
206,25 - 30,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,ginásio
207,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
208,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
209,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
210,18 - 24,Latino,F,Bachelor’s Degree,Lisboa,Portugal,
211,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,
212,18 - 24,Prefer not to disclose,O,Bachelor’s Degree,Lisboa,Portugal,
213,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
214,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
215,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,Futebol
216,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,Equitação
217,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
218,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
219,18 - 24,Black,M,High School,Lisboa,Portugal,Futebol
220,18 - 24,Latino,M,Bachelor’s Degree,Lisboa,Portugal,
221,25 - 30,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,"Viajar, Surf"
222,31 - 40,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,Viajar
223,18 - 24,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,Crochet
224,41 - 50,Latino,F,Master’s Degree,Lisboa,Portugal,
225,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
226,41 - 50,Prefer not to disclose,F,Master’s Degree,Lisboa,Portugal,
227,41 - 50,White/Caucasian,F,Doctorate Degree,Lisboa,Portugal,
228,18 - 24,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
229,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
230,51 - 60,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,
231,41 - 50,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
232,31 - 40,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,Ginásio
