fold,item,train_degree,embedding_norm
0,1315,4,3.5107996463775635
0,1317,3,3.9688923358917236
0,1320,5,3.580533981323242
0,1323,2,2.7653093338012695
0,1327,4,4.1793742179870605
0,1328,5,4.074157238006592
0,1332,2,3.1606647968292236
0,1333,4,3.79138445854187
0,1335,5,4.193818092346191
0,1336,4,4.0767669677734375
0,1339,4,3.982971429824829
0,1340,4,3.637801170349121
0,1341,4,3.9629030227661133
0,1342,4,3.51202392578125
0,1344,4,3.990548610687256
0,1346,5,3.093646287918091
0,1347,14,4.2308669090271
0,1352,7,3.847304582595825
0,1354,6,4.009944438934326
0,1358,4,4.220277786254883
0,1359,3,3.7821648120880127
0,1360,6,3.8466460704803467
0,1362,4,4.0510735511779785
0,1365,4,3.9115071296691895
0,1367,5,3.9269516468048096
0,1368,4,4.277988910675049
0,1369,5,3.760526180267334
0,1374,1,4.096600532531738
0,1376,6,4.296026706695557
0,1379,4,3.6249921321868896
0,1380,7,4.161363124847412
0,1381,4,3.8390018939971924
0,1383,6,4.05251932144165
0,1386,4,3.4577791690826416
0,1388,3,4.58186674118042
0,1391,4,3.667764663696289
0,1395,3,4.046323776245117
0,1398,15,4.302490711212158
0,1399,5,3.647095203399658
0,1400,3,3.84040904045105
0,1407,9,4.065141677856445
0,1408,4,4.063867568969727
0,1409,5,3.8588247299194336
0,1412,4,3.3395886421203613
0,1413,4,3.78493070602417
0,1415,4,3.774559259414673
0,1417,7,3.841113805770874
0,1422,5,4.108109474182129
0,1424,3,3.844923734664917
0,1427,2,4.144381999969482
0,1428,5,3.9341320991516113
0,1429,4,3.8389394283294678
0,1435,3,4.069530963897705
0,1437,3,3.716937780380249
0,1438,3,4.153875827789307
0,1442,3,3.6921136379241943
0,1446,3,4.1554460525512695
0,1447,6,4.039939880371094
0,1448,2,4.250796794891357
0,1449,6,4.090323448181152
0,1454,3,3.272747755050659
0,1456,5,4.122897624969482
0,1461,3,3.8096871376037598
0,1465,3,3.804898262023926
0,1466,5,3.8832926750183105
0,1467,4,3.9400596618652344
0,1469,4,3.743473768234253
0,1470,1,4.192996978759766
0,1472,4,3.7695722579956055
0,1476,3,3.6011781692504883
0,1478,3,3.19185471534729
0,1481,3,3.6408817768096924
0,1484,3,3.2548882961273193
0,1487,3,3.755950689315796
0,1490,5,4.182566165924072
0,1491,4,4.052040100097656
0,1494,4,3.408123016357422
0,1495,5,3.6224026679992676
0,1496,3,3.5434200763702393
0,1498,1,2.6766834259033203
0,1500,3,2.5179636478424072
0,1501,2,4.002521991729736
0,1502,4,4.091039180755615
0,1507,4,3.516357898712158
0,1513,3,3.7997281551361084
0,1516,2,3.755403518676758
0,1517,7,4.026559829711914
0,1518,1,3.641104221343994
0,1521,3,3.749173879623413
0,1522,5,3.8305130004882812
0,1525,1,4.098038196563721
0,1528,5,4.075780868530273
0,1531,8,3.759603500366211
0,1535,2,3.137855291366577
0,1538,5,4.01872444152832
0,1540,5,3.8914008140563965
0,1541,4,3.498262882232666
0,1542,7,3.748368978500366
0,1543,5,3.4059622287750244
0,1546,4,4.599324703216553
0,1547,1,3.7074365615844727
0,1548,4,4.344375133514404
0,1550,4,3.6596198081970215
0,1554,6,3.212261438369751
0,1558,2,3.6082139015197754
0,1567,5,4.1820244789123535
0,1569,4,3.7672531604766846
0,1570,4,3.6613149642944336
0,1571,6,4.233349800109863
0,1577,1,4.192996978759766
0,1579,5,4.178088665008545
0,1580,5,3.672511100769043
0,1582,2,4.184220790863037
