id,age,populational_aff,gender,education,city,country_residence,date_survey,consented,hobby_other
215,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,2024-10-16 09:30:29,1,Futebol
216,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,2024-10-16 09:36:46,1,Equitação
217,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-10-16 12:21:48,1,
218,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2024-10-16 13:58:37,1,
219,18 - 24,Black,M,High School,Lisboa,Portugal,2024-10-17 09:42:09,1,Futebol
220,18 - 24,Latino,M,Bachelor’s Degree,Lisboa,Portugal,2024-10-17 10:22:53,1,
221,25 - 30,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2024-10-20 16:11:37,1,"Viajar, Surf"
222,31 - 40,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2024-10-22 13:07:34,1,Viajar
223,18 - 24,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2024-10-22 13:28:52,1,Crochet
224,41 - 50,Latino,F,Master’s Degree,Lisboa,Portugal,2024-10-22 21:38:21,1,
225,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-10-22 23:37:32,1,
226,41 - 50,Prefer not to disclose,F,Master’s Degree,Lisboa,Portugal,2024-10-26 08:32:06,1,
227,41 - 50,White/Caucasian,F,Doctorate Degree,Lisboa,Portugal,2024-10-31 19:24:18,1,
228,18 - 24,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2024-11-03 16:43:06,1,
229,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2024-11-03 17:34:28,1,
230,51 - 60,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,2024-11-09 13:15:12,1,
231,41 - 50,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-11-22 08:40:35,1,
232,31 - 40,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-11-22 13:51:23,1,Ginásio
233,31 - 40,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2024-11-22 14:11:36,1,Ginásio
234,25 - 30,White/Caucasian,M,Master’s Degree,Leiria,Portugal,2024-11-27 14:24:11,1,
235,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-03-26 23:11:19,1,
236,25 - 30,White/Caucasian,M,Master’s Degree,Setúbal,Portugal,2025-03-27 01:48:25,1,
237,31 - 40,White/Caucasian,F,Doctorate Degree,Lisboa,Portugal,2025-03-27 23:23:56,1,
